Id,SalePrice
2658,131584.38126188796
2718,156258.1250501331
2414,216448.66739097703
1989,107083.82790681906
625,179252.46225635335
333,87348.49342174642
1327,108143.40843951236
858,157079.52583663445
95,169867.6925235577
1568,166841.51541803405
2482,138501.67250957247
1364,128330.68338533491
2584,136996.4146379782
818,282008.1507108556
2673,133681.4431029614
2089,118665.95853845403
1297,167300.20520715322
790,115382.22596593108
2616,201413.0877890354
720,163981.01366137713
222,158874.03928037267
557,126380.31432142016
1148,187859.8856089525
2766,-14757.96602357272
534,173472.40893356036
1452,125492.91781520657
630,123161.40526478272
2648,121488.1287167687
125,162080.42804362997
1904,46408.541613239795
1670,106831.52801334485
756,99616.02803684957
717,190401.02042728662
1032,147976.27531774342
852,208224.0724881934
1731,177777.9302532822
2639,117202.35906501953
2071,96060.87941313721
1267,136215.92797235586
1851,190942.4594517639
567,160271.5194834685
2439,200531.35991427023
1898,152666.0388953602
647,129592.41781689879
2256,201036.2586829448
979,96750.4355532853
1444,211314.55519392435
2485,132769.51942846272
157,136547.21381117217
88,118295.4176372448
2003,100908.55758765712
186,206421.84183219448
1425,234497.70295669418
2695,129988.3254254274
738,95709.07530911826
395,162602.49591735285
1353,165648.32442415413
1878,134224.0984020764
390,162130.75211340003
1456,226722.69293853268
1103,312082.026486665
1387,132579.29120466206
2070,156245.0076036891
1199,160091.99614007492
2479,169157.53249465209
501,340764.6523409486
2362,97196.58177423384
1718,199126.90132544097
2188,99578.85053341743
1483,147113.47885796148
2557,92771.66619907506
437,331517.5202348586
2224,214979.65288708173
1628,160960.38244558405
397,144938.33886733465
587,185250.91225699056
971,143554.02271559276
2611,120232.70363571588
1887,94036.37681564968
2399,391781.4867225792
2148,190047.64667918906
304,113645.04242442921
1997,122570.06262952648
2817,111324.94563307147
1431,225497.76697749924
427,338964.3623253992
263,131113.11003082618
598,170028.03345905524
2895,244993.1689926125
687,128212.94497558288
1822,135737.3597241938
2191,107439.13217434566
179,138370.8499769587
1009,217142.1577085862
2010,143350.4275478879
1991,125654.11205866281
1411,195879.0786717767
1721,224160.15494339168
1144,190809.46271095704
593,213354.26480171457
575,320362.8854641011
1249,160748.41374204215
